Company,Country,Product,Address,Phone_Number,Sajt
Wellcom,Israel,"Motherboard ,  Graphics Card ,  All-in-One Barebone ,  Keyboard ,  Mouse ,  Mini-PC Barebone (BRIX)",האורגים 21 חנות 24 חולון 58857 21st Haorgim St. Store #24 Holon,+972-1-700-500-301,http://www.wellcom.co.il/
ADDER Srl,Italy,"Motherboard ,  Graphics Card",Via A. Guglielminetti 10/17 Torino 10136 Torino Piemonte,+39 011 3290180,http://www.adder.it/
ANDREA TREGGIA,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  External Storage Enclosure ,  USB Charger ,  Chassis ,  Power Supply ,  PC Barebone ,  Mini-PC Barebone (BRIX) ,  Wireless Product",Via B. Marcello 19 40141 Bologna Emilia-Romagna,+39 051 4451196,http://www.treggia.it/
AREA SOLUZIONI S.r.l.,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  High Performance Computing System ,  ARM Server",Via San Pietro 8/A Trapani 91026 Trapani Sicilia,+39 0923 944728,http://www.areasoluzioni.it/
Aris snc,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Density Optimized","Via Bartolomeo Eustachi, 24 20129 Milano Lombardia",+39 02 29516273,
ASA Sulmona s.r.l.,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  PC Barebone ,  Mini-PC Barebone (BRIX)",Viale della repubblica 10 67039 L''Aquila Abruzzo,3272426277,http://www.asasulmona.it/
Asselettrica Sas,Italy,"Motherboard ,  Graphics Card ,  PC Barebone ,  Mini-PC Barebone (BRIX)","Corso Rosselli,20 54033 Radomsko Toscana",+39 0585 777695,http://www.asselettrica.it/
ASSIEL COMPUTER DI LUCA'' V.ZO,Italy,"Motherboard ,  Graphics Card ,  Tower Server ,  ARM Server","VIA E. FERMI, 28 - ROCCELLA JONICA 89047 Reggio Calabria Calabria",+39 964 85831,http://www.assielcomputer.it/
AZETA COMPUTER,Italy,"Motherboard ,  Graphics Card",Corso Cavour 171 98122 Messina Sicilia,+39 90 6783489,http://www.azetacomputer.it/
BIEMME SRL,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution",Via Codalunga 58 31030 Treviso Veneto,+39 0422 273944,http://www.runstore.it/
BIT E BIP di Lavacca Luca,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution",P.zza Martiri di Montemaggio 10 Colle di Val d''Elsa 53034 Siena Toscana,+39 0577 926891,http://www.bitebip.it/
BLK Informatica,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse","Via Ettore Vitale, 105 88100 Catanzaro Calabria",+390961747570,http://www.blkinformatica.it/
Bottinelli Informatica,Italy,"Motherboard ,  Graphics Card ,  Wireless Product","Via Briantea, 7 22038 Como Lombardia",+39 031428020,http://www.bottinelliinformatica.it/
Bow.it,Italy,"Motherboard ,  Graphics Card",via Monza 100 Gessate 20060 Milano Lombardia,+39 02 95380221,http://www.bow.it/
CENTRENET Corato,Italy,"Motherboard ,  Graphics Card ,  TV Tuner Dongle ,  Chassis ,  Gaming Gear ,  TV Tuner Card ,  High Performance Computing System","Via Alberto Mario, 12/A Corato Puglia",+390808725959,http://www.centrenet.it/
Computel di Patrizio Pietroforte,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Speaker ,  Headset ,  External Storage Enclosure ,  Chassis ,  Power Supply ,  PC Barebone ,  Mini-PC Barebone (BRIX) ,  Media / Entertainment Box ,  Wireless Product","P.zza Aldo Moro, 20 00052 Roma Lazio",+39 06/9951604,http://www.computelive.it/
computer city''s di Belgiorno Teresa Sabina,Italy,"Motherboard ,  Graphics Card",viale mario rapisardi 428-432 95123 Catania Sicilia,+39 095 7311507,http://www.computercitys.com/
Computer Cornershop,Italy,"Motherboard ,  Graphics Card ,  High Performance Computing System",Via Pinerolo 81 10045 Torino Piemonte,+39 011 9068384,http://www.computercornershop.com/
Computer Expert di MAgro D. & C. sas,Italy,"Motherboard ,  Graphics Card",p.zza Piemonte e Lombardo 13 91025 Marsala Sicilia,0923718264,
Computer Facile,Italy,"Motherboard ,  Graphics Card",Via Brigata Reggio 30/H 42100 Reggio Emilia Emilia-Romagna,+39 0522 382553,http://www.computerfacile.net/
Computer Facile Srl a Socio Unico,Italy,"Motherboard ,  Graphics Card ,  Mouse","Via Vittime di Via Fani, snc 73057 Taranto Puglia",+39 0833 915833,http://www.computerfacile.com/
Computer Galaxy S.r.l.,Italy,"Motherboard ,  Graphics Card","Viale dei Colli Portuensi, 221/223 00151 Roma Lazio",+1 06 53273014,http://www.computergalaxy.it/
COMPUTER QUALITY,Italy,"Motherboard ,  Graphics Card ,  Tower Server ,  ARM Server",VIA ITALIA 75 10036 Alessandria Piemonte,+39 011 8002240,
Computer Store di D''Ambrosio Alfonso,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse",Corso G.Matteotti n°55 82011 Benevento Campania,+39 0823714324,http://www.cometa.it/
COMPUTERCITY SRL,Italy,"Motherboard ,  Graphics Card","C.so Vittorio Emanuele II, 212 Torino 10138 Torino Piemonte",+39 011 747373,http://www.computercityhw.it/
Computerplam,Italy,"Motherboard ,  Graphics Card",Via P. Cossa 50/a 10146 Torino Piemonte,+39 011 7730592,http://www.computerplam.it/
Dalcomp S.a.s.,Italy,"Motherboard ,  Graphics Card",Contrada la Lenza -Z.I. 70010 Bari Puglia,+39 080 4550396,http://www.dalcomp.it/
DRAKO.IT,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse",Via Piemonte 4/C4 46030 Mantova Lombardia,02 36595220,http://www.drako.it/
EUROPEAN PORTWELL TECHNOLOGY S.R.L.,Italy,"Motherboard ,  Graphics Card","VIA RISORGIMENTO, 95 31044 Treviso Veneto",+39 0423 614216,http://www.eptsrl.it/
Exdata,Italy,"Motherboard ,  Graphics Card ,  Chassis ,  Thermal Solution ,  Power Supply ,  TV Tuner Card ,  High Performance Computing System ,  ARM Server","Via Campana, 252 80070 Pozzuoli Campania",081 526 26 92,http://www.exdata.it/
FCS,Italy,"Motherboard ,  Graphics Card ,  High Performance Computing System ,  ARM Server",Via Dante Alighieri 120 18038 Genova Liguria,+39 0184 535690,
G & G Srl,Italy,"Motherboard ,  Graphics Card",Via G. B. Pergolesi 93012 Caltanisetta Sicilia,+39 0933 823728,http://www.gegsrl.biz/
G.M.A. Srl,Italy,"Motherboard ,  Graphics Card",Via Maria Regina Pedena Sud N.3 Modena 41100 Modena Emilia-Romagna,+39 059 822594,http://www.gma-srl.com/
Goleus snc di Curinga Giovanni & C.,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Density Optimized","Via Dottor Giuseppe Pasquale, 6/1 89020 Anoia Calabria",+3909661945371,http://www.goleus.com/
GtWorks,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Speaker ,  Headset ,  External Storage Enclosure ,  TV Tuner Dongle ,  USB Charger ,  Chassis ,  Power Supply ,  PC Barebone ,  Mini-PC Barebone (BRIX)",via pietro nenni 81050 Caserta Campania,3318387443,http://www.cellulari.caserta.it/
HARDWARE TECHNOLOGIES,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  High Performance Computing System ,  ARM Server","Via Palmiro Togliatti, 23/B Firenze 50055 Firenze Toscana",+39 055 8723222,http://www.hwtech.it/
HOMEPC,Italy,"Motherboard ,  Graphics Card",via salbertrand 75 Torino Piemonte,+39 011 2078983,
IguanaBlu,Italy,"Motherboard ,  Graphics Card",Via Pietro Damini 43 31033 Treviso Veneto,,https://www.iguanablu.com/
Imi di matteo grillo,Italy,"Motherboard ,  Graphics Card",corso bagni 163 15011 Acqui Terme Piemonte,+39 0144 631041,http://www.imishop.it/
Infile Srl,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Power Supply","VIA CASILINA SUD KM 140,200 - CASSINO 03043 Frosinone Lazio",+39 776311988,
Informatica Bassanese s.r.l.,Italy,"Motherboard ,  Graphics Card","Via P. Giraldi, 16 36061 Bassano del Grappa Veneto",+39 424 504567,http://www.informaticabassanese.it/
InterNet & Co. di Giacalone Giovanni,Italy,"Motherboard ,  Graphics Card","Corso Gramsci, 26 91025 Trapani Sicilia",+39 0923 762278,http://www.internetandco.it/
LM DISTRIBUZIONE S.R.L.,Italy,"Motherboard ,  Graphics Card ,  TV Tuner Dongle ,  Chassis ,  Thermal Solution ,  Power Supply ,  Tower Server ,  High Performance Computing System ,  ARM Server","MATTEOTTI, 11 92028 Naro Sicilia",0922 957399,http://www.distribuzionehardware.com/
Lotus Computers sas,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Speaker ,  Headset ,  External Storage Enclosure ,  Chassis ,  Power Supply ,  Media / Entertainment Box ,  Wireless Product","VIA DEI GELSI, 126 a/b 00171 Roma Lazio",06 2597209,
Magia Informatica di Cipriani Martina & C snc,Italy,"Motherboard ,  Graphics Card ,  Tower Server ,  ARM Server","Strada Prov.le Bonifica, 18 - Ascoli 63100 Ascoli-Piceno Marche",+39 0736 390010,http://www.magiainformatica.com/
MDN INFORMATICA,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Speaker ,  Headset ,  External Storage Enclosure ,  TV Tuner Dongle ,  USB Charger ,  Chassis ,  Power Supply ,  PC Barebone ,  Mini-PC Barebone (BRIX) ,  IP Set Top Box ,  Media / Entertainment Box","Via Rieti ,11 00040 Roma Lazio",0662287082,http://www.mdngaming.it/
MEDIASTORE-PC,Italy,"Motherboard ,  Graphics Card",Via Armando Diaz 101 04026 Latina Lazio,+39 0771 1875182,http://www.mediastore-pc.com/
Metropolitan Computer Store,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server",Via Mortacino 33/35 04019 Latina Lazio,+39 0773 721088,http://www.metropolitanstore.it/
MICROSDATA,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  High Performance Computing System ,  ARM Server","VIA FONDO LEONE C,16 90021 Palermo Sicilia",+39 91 8214813,http://www.microsdata.com/
MY OFFICE SRL,Italy,"Motherboard ,  Graphics Card ,  Chassis ,  Thermal Solution ,  Power Supply ,  Gaming Gear ,  Tower Server ,  High Performance Computing System ,  ARM Server",VIA LAGO ALIMINI GRANDE 12/i 74121 Taranto Puglia,+39 099 7328881,http://www.myofficetaranto.it/
NBM INFORMATICA,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Speaker ,  Headset ,  External Storage Enclosure ,  TV Tuner Dongle ,  USB Charger ,  Chassis ,  Power Supply ,  PC Barebone ,  Mini-PC Barebone (BRIX) ,  IP Set Top Box ,  Media / Entertainment Box","Via Vittorio Veneto, 39 - Melegnano 20077 Milano Lombardia",+390298232902,
Neophonia s.r.l.,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  High Performance Computing System ,  Density Optimized",Via siracusa 14 71042 Cerignola Puglia,+39885417944,http://www.neophoniastore.com/
Netline sas,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  External Storage Enclosure ,  Chassis ,  Power Supply ,  PC Barebone ,  Mini-PC Barebone (BRIX) ,  IP Set Top Box ,  Media / Entertainment Box ,  Wireless Product","via Per Cognola, 59 38122 Trento Trentino-Alto Adige",0461816038,http://www.nln.it/
Nexgen Pc Di Boscolo Alberto,Italy,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Density Optimized",via Maestri del Lavoro 25 21047 Saronno Lombardia,+390223161523,http://www.pcnexgen.com/
NGMEDIASYSTEM DI NUGNES GIUSEPPE,Italy,"Motherboard ,  Graphics Card","via venezia,195 81034 Mondragone Campania",0823772610,http://www.ngmediasystem.com/
NuXPress Srl,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  Tower Server ,  High Performance Computing System ,  ARM Server",Via S. Colombano 7/18 20142 Milano Lombardia,+39 02 8136611,http://www.nuxpress.com/
Pc House di Guida Giuseppe,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution","Corso Pandosia, Matera 75025 Matera Basilicata",+39 0835 901432,
PCA Soluzioni Informatiche,Italy,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System",Via Nenni 46 09045 Cagliari Sardegna,+39 070 2346311,http://www.pca-store.it/
Pegaso Informatica Srl,Italy,"Motherboard ,  Graphics Card",Via Dante 56 35014 Padova Veneto,+39 049 4102266,http://www.pegaso-informatica.it/
Pianeta Computer di Caprara Federico,Italy,"Motherboard ,  Graphics Card",via Verdi 91a 30171 Mestre Veneto,+39 041976307,http://www.pianetacomputer.it/
Planet Computer Pisa,Italy,"Motherboard ,  Graphics Card",Via San Jacopo 29 56123 Pisa Toscana,,https://www.planetcomputerpisa.it/
Programma Azienda,Italy,"Motherboard ,  Graphics Card ,  ARM Server",Viale XX settembre 64 34126 Trieste Friuli-Venezia Giulia,+39 040 573915,
QBYTE srl,Italy,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server",via s. benedetto 20 09128 Cagliari Sardegna,+39 070 496320,http://www.qbyte.it/
SGT Com - ICT & Security -,Italy,"Motherboard ,  Graphics Card ,  Chassis ,  Thermal Solution ,  Power Supply ,  Tower Server ,  ARM Server","VIA Omero, 8 90011 Bagheria Sicilia",+39 091906831,
Silcom snc,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution",Piazza portegaia 8 25065 Brescia Lombardia,+39 030 827780,http://www.silcomweb.it/
SLASH COMPUTER - 2CINFORMATICA DISTRIBUZIONE,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  High Performance Computing System ,  ARM Server",VIA VENETO 13 DIETRO CC LA GRANDE MELA 37066 Verona Veneto,+39 45 6090405,http://http//WWW.2CINFORMATICA.IT
SLASH COMPUTER SRL,Italy,"Motherboard ,  Graphics Card ,  Tower Server ,  High Performance Computing System ,  ARM Server",VIA VENETO 13 37060 Verona Veneto,+39 45 6090405,http://www.slashcomputer.com/
System Advanced di Imbalzano Giuseppe e Bartolo Monteleone Snc,Italy,"Motherboard ,  Graphics Card ,  High Performance Computing System ,  ARM Server",Via Marconi n.209 91016 Trapani Sicilia,+39 0923 554872,http://systemadvanced.com/
Systema S.r.l.,Italy,"Motherboard ,  Graphics Card","Via G. Ferraris, 7 48100 Ravenna Emilia-Romagna",0544 201933,http://www.systema.ra.it/
TD-Computers,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  High Performance Computing System","via Cicerone, 7 Santa Marinella (Roma) 00058 Roma Lazio",+0039 0766 535475,http://www.td-computers.com/
TEMA SRL,Italy,"Motherboard ,  Graphics Card",C.so Francia 68 - Collegno (To) 10093 Collegno Torino Piemonte,0117410171,http://www.tema-srl.it/
TREE COMPUTER DI BESOZZI STEFANO,Italy,"Motherboard ,  Graphics Card ,  High Performance Computing System",V.LE VOLTA 58B 28100 Novara Piemonte,+39 321 454195,http://www.treecomputernovara.it/
TREGI COMPUTERS,Italy,"Motherboard ,  Graphics Card",VIA OLIMPIA 8/B 31038 Treviso Veneto,+39 0422 452106,http://www.tregi.it/
VAP INFORMATICA SNC,Italy,"Motherboard ,  Graphics Card",VIA ISTRIA 38 Sardegna,+39 070 8561735,
Visoft & Videoclub di Corrado Cudignotto,Italy,"Motherboard ,  Graphics Card","Isola Vicentina - Via Canova, 6 36033 Vicenza Veneto",+39 0444 977450,http://www.visoft.it/
ZEROBYTE SRL,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  ARM Server","VIA DELLA BORSA, 2 31033 Castelfranco Veneto",+39 0423 723001,http://www.zerobytesrl.it/
ZEUS SERVIZI INFORMATICI di Andrea Greco,Italy,"Motherboard ,  Graphics Card ,  Tower Server","VIA SOFIO FERRERO, 24 96100 Siracusa Sicilia",0931 783 716,
VAP INFORMATICA SNC,Italy,"Motherboard ,  Graphics Card",VIA ISTRIA 38 Sardegna,+39 070 8561735,
Visoft & Videoclub di Corrado Cudignotto,Italy,"Motherboard ,  Graphics Card","Isola Vicentina - Via Canova, 6 36033 Vicenza Veneto",+39 0444 977450,http://www.visoft.it/
ZEROBYTE SRL,Italy,"Motherboard ,  Graphics Card ,  Thermal Solution ,  ARM Server","VIA DELLA BORSA, 2 31033 Castelfranco Veneto",+39 0423 723001,http://www.zerobytesrl.it/
ZEUS SERVIZI INFORMATICI di Andrea Greco,Italy,"Motherboard ,  Graphics Card ,  Tower Server","VIA SOFIO FERRERO, 24 96100 Siracusa Sicilia",0931 783 716,
"""Intellect Solutions"" ТОО",Kazakhstan,"Motherboard ,  Graphics Card","Сейфуллина 288, офис 212 050050 Алматы Алматы",+7 727 382-72-44,http://www.i-solutions.kz/
Flashtorg,Kazakhstan,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse",ул.Алтынсарина дом 8 050062 Алматы Алматы,+7 727 2490775,http://www.flashtorg.kz/
Fora,Kazakhstan,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX) ,  Server Motherboard","ул. Курмангазы, 1 Атырау Казахстан Атырау Атырауская область",8 (7122) 93-00-40,http://www.fora.kz/
Fora,Kazakhstan,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","р. Бухар Жырау, 78/2 - 45 квартал (ТД Пирамида) Караганда Казахстан Караганда Карагандинская область",8 (7212) 47-91-95,http://www.fora.kz/
Fora,Kazakhstan,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","мкр. Восток 2, ТД Ануар (Майкудук) Караганда Казахстан Караганда Карагандинская область",,http://www.fora.kz/
Fora,Kazakhstan,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)",пр. Сатпаева 40А (Дом быта) Атырау Казахстан Атырау Атырауская область,8 (7122) 55-84-20,http://www.fora.kz/
Fora,Kazakhstan,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","пр. Абилкайыр-хана, 75 Актобе Казахстан Актобе Актюбинская область",8 (7132) 95-96-00,http://www.fora.kz/
Компания «Белый Ветер»,Kazakhstan,"Motherboard ,  Graphics Card","ул.Ерубаева, 49/2 Караганда Карагандинская область",+7 721 2910111,http://www.ww.kz/
"ТОО ""BizCom""",Kazakhstan,"Motherboard ,  Graphics Card","Республика Казахстан, г. Усть-Каменогорск, Кирова 72 070004 Экибастуз Восточно-Казахстанская область",+7 7232 245188,http://www.bizcom.kz/
ТОО«Техцентр Аверс»,Kazakhstan,"Motherboard ,  Graphics Card","141201, Казахстан, г. Экибастуз, ул. Машхур Жусупа, д. 36 «А»",8-7187-344544,http://www.averstech.kz/
Al-Riyada Al-Kuwaitia Computer Co.(Hawally),Kuwait,Graphics Card,"Lulua Complex,Ibn-E-Khaldoon St.Mezzanine,Shop No 31-37",+965-22620074,
Ultra Computer Store,Malta,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Speaker","299,Mdina Road Qormi.Malta.QRM 9012",+356-21-484302,http://www.ultramalta.com/
GRUPO DECME,Mexico,"Motherboard ,  Graphics Card ,  Keyboard ,  Mouse ,  Chassis ,  Power Supply","AV 11 % CALLES 22 Y 24 #2223 COL: DEL MAESTRO, CORDOBA, VERACRUZ AV 11 % CALLES 22 Y 24 #2223 COL: DEL MAESTRO, CORDOBA, VERACRUZ",+52-2717180304,http://grupodecme.com/index.php?route=common/home
Supermex Digital(México DF),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Local 13. República de Uruguay 13 , Local 13 , PB. Col. Centro, Deleg. Cuauhtémoc, México D.F, C.P. 06000",+52-55-5510-2447,http://supermexdigital.com.mx/
Supermex Digital(Estado de México),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Toluca Local 252 y 254 PB. Av. Sebastian Lerdo de Tejada No. 104 , Col. Centro, Toluca Edo. de México , C.P. 50000",+52-01-722-2136 729,http://supermexdigital.com.mx/
Supermex Digital(Puebla),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Puebla Local 51 y 57 PB. 10 Poniente No. 104 , Col. Centro , Puebla Puebla , C.P. 72000",+52-01-222-2461 865,http://supermexdigital.com.mx/
Supermex Digital(Cuernavaca),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Cuernavaca Local 85. Vicente Guerrero 16 , Esq. Arteaga , Col. Centro , Cuernavaca Morelos , C.P. 62000",+52-01-777-3187 519,http://supermexdigital.com.mx/
Supermex Digital(Querétaro),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Queretaro Local 1 y 3 PB. Av. Ignacio Zaragoza , Esq. Manuel Tolsa No.2 , Col. Centro , Querétaro , C.P. 76000",+52-01-442-2126 673,http://supermexdigital.com.mx/
Supermex Digital(Mérida),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Local 20 PB. Calle 59 No. 486 , Col. Centro , Mérida Yucatán , C.P. 97000",+52-01-999-9233 215,http://supermexdigital.com.mx/
Supermex Digital(Nuevas Tiendas),Mexico,"Motherboard ,  Graphics Card ,  Mini-PC Barebone (BRIX)","Plaza de la Tecnología Guadalajara Local 11 y 13 PB. Avenida 16 de septiembre #219, Col. Mexicaltzingo. Guadalajara, Jalisco, C.P. 44100",+52-01-33-33586163,http://supermexdigital.com.mx/
Azarakhsh (Ahwaz),Middle East,Graphics Card,"Second Floor, Grand Bazar, Raleghani Ave Second Floor, Grand Bazar, Raleghani Ave",+98- 61 32231841,
Barouk System(Tehran),Middle East,Graphics Card,"No 210, Iran Compuer Center, Valie'ast Ave No 210, Iran Compuer Center, Valie'ast Ave",+98-21 88851017,
Feyz Computer(Tehran),Middle East,Graphics Card,"No 208, Iran Compuer Center, Valie'ast Ave No 208, Iran Compuer Center, Valie'ast Ave",+98-21 88938851,
Gostaresh System(Tehran),Middle East,Graphics Card,"No 170, Iran Compuer Center, Valie'ast Ave No 170, Iran Compuer Center, Valie'ast Ave",+98-21 88802220,
Hadish Computer(Shiraz),Middle East,Graphics Card,"No 204, Pars Computer Center, Mollasadra Ave No 204, Pars Computer Center, Mollasadra Ave",+98-71 36473655,
Madyzd(Yazd),Middle East,Graphics Card,"Madyzd Building, Bahonar Blv, Axar Yazdi Ave Madyzd Building, Bahonar Blv, Axar Yazdi Ave",+98-35 37255510,http://www.maadized.ir/
Markazi Computer(Shiraz),Middle East,Graphics Card,"Ground Floor, Pars Computer Center, Mollasadra Ave Ground Floor, Pars Computer Center, Mollasadra Ave",+98-71 36473242,
Nazar Zadeh Computer(Tabriz),Middle East,Graphics Card,"No 51, Sahand Mall, Emam Ave No 51, Sahand Mall, Emam Ave",+98-41 35531346,
Ofogh Rahavard(Mashhad),Middle East,Graphics Card,"No 2, Hejrat 12 alley, Bistoun 9 St, Bistoun Ave No 2, Hejrat 12 alley, Bistoun 9 St, Bistoun Ave",+98-51 37678471,
Sayan System(Isfahan),Middle East,Graphics Card,"No 36, Taleghani Mall, Taleghani Ave No 36, Taleghani Mall, Taleghani Ave",+98- 313 2369059,
Sazgar Argham Shargh(Mashhad),Middle East,Graphics Card,"No 7, Taban complex, Sadeghi Ave No 7, Taban complex, Sadeghi Ave",+98-51 37246065,
Sky Computer(Tehran),Middle East,Graphics Card,"No 2, Reza Computer Mall, Valie'asr Ave No 2, Reza Computer Mall, Valie'asr Ave",+98- 21 66972393,
Tarashe Negar Pars(Ahwaz),Middle East,Graphics Card,"No 9, Second floor, Grand Bazar, Taleghani Ave No 9, Second floor, Grand Bazar, Taleghani Ave",+98-61 2234742,
Tolou-e Sabz(Isfahan),Middle East,Graphics Card,"No 116, Taleghani Mall, Taleghani Ave No 116, Taleghani Mall, Taleghani Ave",+98-313 2369391,
